region_id,region_dims,edgewise_region_neighbors,neighbor_edge_dim,region_angles,corner_coords,corner_regions,max_curvature,z_max,mold_dimensions,user_preferred_sequence
a,"3,6","O,x,b,x,O,x,O","3,6,3,6",0,"0,0,x,3,0,x,3,6,x,0,6","O,O,O,O",0,0,"24,6","e,d,h,f,i,g,j,c,b,a"
b,"2,6","O,x,c,x,O,x,a","2,6,2,6",150,"3,0,x,5,0,x,5,6,x,3,6","O,O,O,O",0,-2,,
c,"3,6","O,x,d,x,O,x,b","3,6,3,6",0,"5,0,x,8,0,x,8,6,x,5,6","O,O,O,O",0,-2,,
d,"2,6","O,x,e,x,O,x,c","2,6,2,6",30,"8,0,x,10,0,x,10,6,x,8,6","O,O,O,O",0,-2,,
e,"3,6","O,x,f,h,x,O,x,d","3,3,3,3,6",0,"10,0,x,13,0,x,13,6,x,10,6","O,O,O,O",0,0,,
f,"4,3","O,x,g,x,h,x,e","4,3,4,3",60,"13,0,x,17,0,x,17,3,x,13,3","O,O,i,e",0.3,1,,
g,"4,3","O,x,j,x,i,x,f","4,3,4,3",120,"17,0,x,21,0,x,21,3,x,17,3","O,O,j,h",0.3,1,,
h,"4,3","f,x,i,x,O,x,e","4,3,4,3",60,"13,3,x,17,3,x,17,6,x,13,6","e,g,O,O",0.3,1,,
i,"4,3","g,x,j,x,O,x,h","4,3,4,3",120,"17,3,x,21,3,x,21,6,x,17,6","f,j,O,O",0.3,1,,
j,"3,6","O,x,O,x,O,x,i,g","3,6,3,3,3",0,"21,0,x,24,0,x,24,6,x,21,6","O,O,O,O",0,0,,
